representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
precursor_structured,0.5,9,3,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9659090909090909,6,0,3,5
precursor_structured,0.5,9,4,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8273809523809523,5,1,4,4
precursor_structured,0.5,9,5,0.42857142857142855,0.5,0.25,0.2777777777777778,0.6829184704184704,4,2,6,2
precursor_structured,0.5,10,1,0.5714285714285714,0.625,0.625,0.625,0.7760416666666666,3,3,3,5
precursor_structured,0.5,10,2,0.5714285714285714,0.625,0.625,0.625,0.8375270562770563,3,3,3,5
precursor_structured,0.5,10,3,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7679268648018648,4,2,4,4
precursor_structured,0.5,10,4,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9472222222222222,6,0,3,5
precursor_structured,0.5,10,5,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7819715007215007,5,1,4,4
pathway_aware_structured,1.0,1,1,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6671092796092796,3,3,4,4
pathway_aware_structured,1.0,1,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8387362637362638,4,2,3,5
pathway_aware_structured,1.0,1,3,0.5714285714285714,0.625,0.625,0.625,0.6487959956709958,3,3,3,5
pathway_aware_structured,1.0,1,4,0.5714285714285714,0.625,0.625,0.625,0.7836174242424242,3,3,3,5
pathway_aware_structured,1.0,1,5,0.42857142857142855,0.5,0.5,0.5,0.6658466533466534,2,4,4,4
pathway_aware_structured,1.0,2,1,0.42857142857142855,0.5,0.125,0.14705882352941177,0.5537518037518037,5,1,7,1
pathway_aware_structured,1.0,2,2,0.5,0.6,0.375,0.40540540540540543,0.7376945970695971,4,2,5,3
pathway_aware_structured,1.0,2,3,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.856845238095238,5,1,3,5
pathway_aware_structured,1.0,2,4,0.8571428571428571,0.8,1.0,0.9523809523809523,0.9317956349206349,4,2,0,8
pathway_aware_structured,1.0,2,5,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7724702380952381,5,1,4,4
pathway_aware_structured,1.0,3,1,0.5714285714285714,1.0,0.25,0.29411764705882354,0.7456807081807082,6,0,6,2
pathway_aware_structured,1.0,3,2,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7245535714285714,3,3,4,4
pathway_aware_structured,1.0,3,3,0.7142857142857143,1.0,0.5,0.5555555555555556,0.8271645021645022,6,0,4,4
pathway_aware_structured,1.0,3,4,0.7142857142857143,0.75,0.75,0.75,0.755952380952381,4,2,2,6
pathway_aware_structured,1.0,3,5,0.7142857142857143,0.75,0.75,0.75,0.9144230769230769,4,2,2,6
pathway_aware_structured,1.0,4,1,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7444180819180819,3,3,4,4
pathway_aware_structured,1.0,4,2,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9241452991452992,6,0,4,4
pathway_aware_structured,1.0,4,3,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7187770562770562,3,3,4,4
pathway_aware_structured,1.0,4,4,0.5714285714285714,0.625,0.625,0.625,0.6599587912087913,3,3,3,5
pathway_aware_structured,1.0,4,5,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8816287878787878,3,3,2,6
pathway_aware_structured,1.0,5,1,0.7142857142857143,0.75,0.75,0.75,0.6735930735930736,4,2,2,6
pathway_aware_structured,1.0,5,2,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8897186147186147,3,3,2,6
pathway_aware_structured,1.0,5,3,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7905219780219781,2,4,3,5
pathway_aware_structured,1.0,5,4,0.42857142857142855,0.5,0.375,0.39473684210526316,0.5844433344433344,3,3,5,3
pathway_aware_structured,1.0,5,5,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9317956349206349,6,0,4,4
pathway_aware_structured,1.0,6,1,0.7857142857142857,1.0,0.625,0.6756756756756757,0.8672619047619048,6,0,3,5
pathway_aware_structured,1.0,6,2,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8364448051948052,4,2,4,4
pathway_aware_structured,1.0,6,3,0.42857142857142855,0.5,0.375,0.39473684210526316,0.7058306277056277,3,3,5,3
pathway_aware_structured,1.0,6,4,0.5714285714285714,0.625,0.625,0.625,0.7905219780219781,3,3,3,5
pathway_aware_structured,1.0,6,5,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.782224025974026,3,3,2,6
pathway_aware_structured,1.0,7,1,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8831168831168832,3,3,2,6
pathway_aware_structured,1.0,7,2,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8301406926406927,5,1,4,4
pathway_aware_structured,1.0,7,3,0.5714285714285714,0.625,0.625,0.625,0.7755952380952381,3,3,3,5
