representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_only,8,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.84375,4,2,3,5
transformer_only,8,3,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8409090909090909,5,1,3,5
transformer_only,8,4,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.699393315018315,2,4,3,5
transformer_only,8,5,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7279963092463092,2,4,3,5
transformer_only,9,1,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.7390241702741703,5,1,2,6
transformer_only,9,2,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7656520562770562,2,4,3,5
transformer_only,9,3,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.7938311688311688,2,4,2,6
transformer_only,9,4,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.906795634920635,5,1,3,5
transformer_only,9,5,14,0.42857142857142855,0.5,0.5,0.5,0.7457993395493396,2,4,4,4
transformer_only,10,1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6688311688311689,4,2,3,5
transformer_only,10,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6906114718614719,4,2,3,5
transformer_only,10,3,14,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.6582656926406927,2,4,0,8
transformer_only,10,4,14,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.8017857142857143,2,4,1,7
transformer_only,10,5,14,0.5714285714285714,0.625,0.625,0.625,0.7842147435897435,3,3,3,5
precursor_structured_only,1,1,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.8021645021645022,2,4,3,5
precursor_structured_only,1,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7898809523809525,4,2,3,5
precursor_structured_only,1,3,14,0.42857142857142855,0.5,0.375,0.39473684210526316,0.5862959956709958,3,3,5,3
precursor_structured_only,1,4,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7857142857142857,4,2,3,5
precursor_structured_only,1,5,14,0.35714285714285715,0.4444444444444444,0.5,0.4878048780487805,0.6604437229437229,1,5,4,4
precursor_structured_only,2,1,14,0.42857142857142855,0.5,0.25,0.2777777777777778,0.5713609307359307,4,2,6,2
precursor_structured_only,2,2,14,0.6428571428571429,1.0,0.375,0.42857142857142855,0.8874007936507936,6,0,5,3
precursor_structured_only,2,3,14,0.8571428571428571,1.0,0.75,0.7894736842105263,0.9308035714285714,6,0,2,6
precursor_structured_only,2,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9381313131313131,3,3,1,7
precursor_structured_only,2,5,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7906746031746031,4,2,3,5
precursor_structured_only,3,1,14,0.6428571428571429,1.0,0.375,0.42857142857142855,0.6886100011100011,6,0,5,3
